cycle,VS1_std,VS1_max,PS1_std,PS1_max,PS1_median,PS2_std,PS2_max,PS2_median,PS3_std,PS3_max,PS3_median,PS5_mean,PS5_max,PS6_mean,PS6_max,FS1_median,FS1_std,FS1_max,FS2_median,FS2_std,FS2_max,TS1_mean,TS1_max,TS1_std,TS2_mean,TS2_max,TS2_std,TS3_mean,TS3_max,TS3_std,TS4_mean,TS4_max,TS4_std,EPS1_median,EPS1_std,EPS1_max,CE_value,CE_diff,CP,CP_delta,SE,SE_delta,valve_optimal
10,0.0356685780152099,0.657,14.451743765503393,191.16,154.63,46.67805872186637,160.94,128.415,0.9124761453667216,10.617,2.102,9.068216833333352,9.148,8.983758166666627,9.08,7.7965,3.0071833040189797,19.415,9.964,0.0207710174749555,10.029,44.10611666666664,44.582,0.428950990510439,48.58626666666667,48.984,0.2847490043533537,45.36508333333331,45.668,0.147712305314226,41.10019999999997,41.336,0.156062547217671,2415.8,192.9801941302382,2905.4,18.184,-0.0169999999999994,1.14,0.0179999999999997,68.832,-0.0220000000000055,1
11,0.0344953079590027,0.662,14.465964420260992,191.06,154.52,46.67567363443506,164.73,128.29000000000002,0.908681829772766,10.617,2.102,9.02303366666663,9.087,8.940413000000051,9.009,7.795,3.005156640956235,19.707,9.931,0.0149501505195259,9.978,44.63849999999999,45.09,0.4063194243157361,49.11421666666664,49.508,0.280198482415631,45.92148333333333,46.141,0.1280727404101211,41.56785000000001,41.82,0.1573074098268757,2407.8,193.74692157562143,2899.4,18.229,0.0449999999999981,1.159,0.0190000000000001,68.771,-0.0609999999999928,1
12,0.0351246529226674,0.681,14.464266533278536,191.08,154.34,46.65072547687663,163.84,128.28500000000005,0.9029524337543532,10.398,2.078,8.981116666666612,9.048,8.901620500000035,8.969,7.7915,3.00796161929095,19.628,9.914,0.0177667757182123,9.971,45.1596,45.605,0.3898075231248702,49.60216666666667,49.969,0.2603269239718265,46.391066666666674,46.641,0.1347104700253963,42.03833333333331,42.25,0.1359587009410646,2403.8,192.6308516726788,2891.4,17.748,-0.4809999999999981,1.158,-0.0010000000000001,68.696,-0.0750000000000028,1
13,0.0384074351323585,0.671,14.476303591177592,191.0,154.29,46.628571720529806,166.67,128.07999999999998,0.9039088327764746,10.617,2.062,8.948214499999999,9.008,8.870686666666625,8.936,7.776999999999999,3.011885786660324,20.121,9.891,0.0191655758805047,9.988,45.62873333333332,46.082,0.4001435279219857,50.06426666666666,50.41,0.2521735255843677,46.86816666666667,47.074,0.129018874807127,42.43971666666667,42.648,0.1255063090677879,2401.6,192.51347156695644,2887.6,17.726,-0.022000000000002,1.182,0.024,68.639,-0.0570000000000021,1
14,0.0334676502882889,0.671,14.530456664672869,190.94,154.23,46.58815406428451,166.99,128.2,0.9072894500842176,11.055,2.062,8.915401333333387,8.981,8.840755500000006,8.904,7.781,3.0239001828900305,20.479,9.856,0.0173468109549296,9.92,46.059183333333344,46.434,0.3615617485611533,50.50908333333333,50.836,0.2641175452021616,47.318266666666666,47.512,0.1275811296108023,42.79893333333334,43.043,0.1315148849817062,2397.8,193.85837497035453,2888.6,17.561,-0.1649999999999991,1.182,0.0,69.008,0.3689999999999998,1
15,0.0351485789025681,0.675,14.554577754484503,190.98,154.06,46.52856746114722,167.12,127.94,0.9046690735227522,11.242,2.062,8.890655333333408,8.951,8.816202000000006,8.88,7.781000000000001,3.0222046551305954,20.479,9.8345,0.0163550035399019,9.884,46.46225000000001,46.867,0.3614676123053939,50.91523333333334,51.227,0.2326754025200192,47.70863333333333,47.832,0.1021542480540106,43.15196666666667,43.312,0.1158700275171973,2395.6,193.27550053567776,2885.6,17.922,0.3610000000000006,1.218,0.036,68.845,-0.1629999999999967,1
16,0.031460332839512,0.666,14.526439886091312,190.9,154.04,46.52713113174875,159.95,127.85,0.901643822225226,10.609,2.055,8.889613166666704,8.951,8.81341233333336,8.877,7.77,2.998274680550568,19.561,9.799,0.0199994851770133,9.857,46.839566666666656,47.246,0.3691969005997066,51.29886666666664,51.594,0.2425207638614781,48.06265,48.238,0.1212538764014281,43.44553333333334,43.574,0.0946849309985072,2394.0,193.32443154818512,2885.4,17.675,-0.2469999999999999,1.204,-0.014,68.955,0.1099999999999994,1
17,0.0430900876039665,0.696,14.51128815776186,190.89,153.94,46.51865414250025,162.94,127.715,0.8996123286369587,10.406,2.047,8.861766499999906,8.922,8.786334666666722,8.845,7.759,3.0087115563317512,19.757,9.7795,0.0168685077166785,9.834,47.152183333333326,47.531,0.3462447694846527,51.653199999999984,51.945,0.2350688179077394,48.44433333333333,48.586,0.1017347276118621,43.732033333333305,43.98,0.1263703149365993,2391.8,193.932853998978,2885.8,17.718,0.0429999999999992,1.234,0.03,69.066,0.1110000000000042,1
18,0.030539055294902,0.688,14.587743973003532,190.9,153.85,46.48517889784531,166.52,127.81,0.8994386736178788,10.969,2.055,8.836582499999968,8.913,8.76294916666669,8.839,7.772,3.018645776901937,20.343,9.761,0.0168075174637534,9.81,47.46976666666668,47.855,0.3448039662492917,51.996400000000015,52.289,0.2428870282138928,48.74018333333336,48.855,0.0950679492350153,44.044,44.207,0.0901871876352703,2388.0,193.9664626803296,2881.4,17.727,0.0090000000000003,1.25,0.016,69.121,0.0549999999999926,1
19,0.037056907679671,0.715,14.59094838831512,190.8,153.77,46.43967914544024,157.73,127.655,0.9016864609228684,10.727,2.062,8.815813666666632,8.871,8.744519499999964,8.801,7.768499999999999,3.00327222737459,19.874,9.741,0.0154687614015741,9.794,47.75106666666668,48.109,0.332348442159204,52.31358333333333,52.598,0.2065451312496562,49.08618333333334,49.258,0.1027043628975526,44.30386666666665,44.457,0.103473482506007,2383.4,195.1657002864923,2881.4,17.356,-0.3709999999999986,1.222,-0.028,69.089,-0.0319999999999964,1
20,0.0375299503748838,0.706,14.55944959421593,190.82,153.73,46.45350781058416,166.47,127.78,0.9024232863264184,11.008,2.062,8.819560499999954,8.916,8.75107483333339,8.851,7.764,3.021041536996045,20.479,9.696,0.0299944212490534,9.769,48.02619999999999,48.453,0.339422480603426,52.58476666666666,52.848,0.2151186008446939,49.347150000000006,49.516,0.0855821193506109,44.498483333333326,44.621,0.074438347067384,2379.8,193.28400743445005,2875.6,17.732,0.3759999999999976,1.266,0.044,69.457,0.367999999999995,1
21,0.0295487531642085,0.712,14.533623365745552,190.89,153.755,46.43367296852217,160.49,127.66,0.902947832637246,10.992,2.055,8.829950666666585,8.898,8.760344500000038,8.825,7.766999999999999,2.9992769750130828,19.801,9.657,0.016149013160048,9.708,48.27095,48.625,0.3097484723153524,52.84005000000001,53.09,0.2003865269160868,49.62603333333335,49.75,0.0729859440070413,44.66851666666666,44.805,0.0713517169668976,2377.6,193.21885360541663,2869.4,17.809,0.0770000000000017,1.273,0.0069999999999998,69.094,-0.3629999999999995,1
22,0.041102545043337,0.723,14.57453206185368,190.85,153.69,46.396564034542976,166.6,127.65,0.9023635764683,10.883,2.047,8.833388333333271,8.896,8.763845666666684,8.828,7.762,3.023493892457328,20.479,9.632,0.0170300705437988,9.686,48.49956666666666,48.879,0.3080935014727144,53.06208333333335,53.309,0.1894671646939779,49.856116666666665,50.004,0.0773015428764094,44.855266666666665,44.965,0.047635575178629,2374.4,193.9906329478443,2867.4,17.753,-0.0560000000000009,1.273,0.0,69.266,0.1720000000000112,1
23,0.0268826493515462,0.691,14.524258742595698,190.8,153.67,46.41822857893288,160.16,127.54,0.9030801102712688,11.062,2.047,8.825094499999933,8.889,8.754625499999971,8.818,7.7595,3.012441952075488,19.905,9.617,0.0180191325388129,9.666,48.71131666666664,49.043,0.2914825628803147,53.25635,53.484,0.1801206587121959,50.07588333333332,50.25,0.0737825691754116,45.05454999999999,45.145,0.0652617740529816,2373.6,193.01604175558757,2865.4,17.885,0.1320000000000014,1.289,0.016,69.544,0.2779999999999916,1
24,0.031954575810895,0.722,14.553910379384382,190.78,153.59,46.33807118676607,166.78,127.54,0.9098831223898036,11.266,2.031,8.81421100000003,8.882,8.743425166666638,8.814,7.758,3.024228479683518,20.479,9.606,0.0186601623336835,9.662,48.91953333333334,49.293,0.2960626632403546,53.4621,53.687,0.186925499525563,50.26948333333335,50.418,0.0670288305454734,45.20803333333334,45.316,0.0779971678465973,2372.8,192.90347189321648,2867.8,17.925,0.0399999999999991,1.312,0.0230000000000001,69.512,-0.0319999999999964,1
25,0.0320772857312928,0.714,14.571158669376937,190.7,153.42,46.28595031591616,164.56,127.305,0.8979750135893597,10.836,1.945,8.799729000000017,8.884,8.73054949999997,8.81,7.75,3.0189493644008607,20.318,9.596,0.0194927696596429,9.644,49.11003333333334,49.453,0.2897882316607071,53.673816666666646,53.887,0.1734225262152233,50.52234999999999,50.609,0.0728987747217484,45.32215000000001,45.465,0.0477407635933341,2368.0,193.7546591782992,2867.8,17.83,-0.0950000000000024,1.313,0.0009999999999998,69.645,0.1329999999999955,1
26,0.0425759009843922,0.762,14.603530076923416,190.79,153.37,46.27680121815207,165.65,127.28,0.9036668466045852,10.695,1.953,8.796408833333379,8.862,8.727123833333295,8.8,7.739,3.0053233884857584,20.479,9.573,0.0179251951463591,9.632,49.31875,49.629,0.3082194147472198,53.870583333333336,54.117,0.1928979963754157,50.72119999999999,50.762,0.052723712222382,45.49631666666665,45.547,0.0439180637970706,2367.6,193.7133090372521,2863.8,18.341,0.5110000000000028,1.346,0.0330000000000001,69.32,-0.3250000000000028,1
27,0.0313873017614513,0.723,14.616949138809767,190.76,153.35,46.285442157198624,166.47,127.29,0.8798815264106443,10.891,1.977,8.791438500000064,8.861,8.722813999999943,8.79,7.743,3.030619161123066,20.463,9.554,0.019211571070422,9.611,49.49523333333335,49.773,0.2778620171325549,54.05959999999998,54.273,0.1725991928020881,50.91049999999998,51.02,0.0702635474602221,45.53816666666665,45.719,0.0819946601540937,2367.8,193.6267687209763,2865.4,18.606,0.2650000000000005,1.376,0.0299999999999998,68.923,-0.3969999999999913,1
28,0.033062050035386,0.72,14.666449935490204,190.8,153.18,46.195964356771015,166.4,127.235,0.8851473852736795,10.969,1.977,8.781652500000034,8.84,8.714268499999967,8.776,7.741,3.0148965996217325,20.479,9.538,0.0187297804166901,9.606,49.66363333333331,50.012,0.3095691356022331,54.20558333333332,54.418,0.1671093513563329,51.065333333333335,51.215,0.0622538996577635,45.77081666666666,45.887,0.0561820562664598,2363.6,194.18855577447303,2861.6,18.446,-0.1600000000000001,1.378,0.002,69.12,0.1970000000000027,1
29,0.0326215934862465,0.726,14.730955443707275,190.69,153.1,46.1463016439655,166.27,127.185,0.8731472492053097,10.672,1.992,8.778931666666729,8.84,8.71148149999995,8.771,7.755,3.0192430585915218,20.479,9.531,0.0177871656255441,9.586,49.82441666666666,50.16,0.2858043239384611,54.3848333333333,54.625,0.1823937040493343,51.16253333333332,51.281,0.0605479125776786,45.79908333333333,45.891,0.044338945526427,2361.6,195.5066973426994,2861.6,18.156,-0.2900000000000027,1.35,-0.0279999999999998,69.269,0.1490000000000009,1
30,0.0486837221487828,0.804,14.731912458133612,190.69,153.1,46.1523357906534,166.24,126.92,0.8747110489196895,11.195,1.992,8.770889500000042,8.833,8.70426149999997,8.767,7.749499999999999,3.002399130495144,20.46,9.5215,0.0174156664994938,9.568,49.92826666666664,50.223,0.2743447581560163,54.48656666666666,54.691,0.1511260969361067,51.35018333333333,51.434,0.0404368063864397,45.93225,45.98,0.0549870940173655,2361.4,195.44520431835636,2863.8,18.939,0.7830000000000013,1.414,0.0639999999999998,69.147,-0.1219999999999998,1
31,0.034149323143899,0.712,14.74617224002507,190.72,153.02,46.131872936569614,165.95,126.88,0.8717964591137968,10.695,1.992,8.763220000000079,8.825,8.698755833333319,8.755,7.753,3.003481459231737,20.253,9.504,0.0192233797900088,9.582,50.03428333333332,50.383,0.272774762219592,54.60176666666668,54.809,0.1659086298127008,51.49528333333335,51.641,0.058609044152735,46.07304999999999,46.191,0.0813411783055516,2359.8,195.8682243666261,2861.4,18.798,-0.1410000000000018,1.413,-0.0009999999999998,69.09,-0.0570000000000021,1
32,0.0350392636908939,0.734,14.734913697919806,190.63,153.13,46.16656574927443,166.38,127.035,0.8689250294590839,11.117,1.992,8.758904833333359,8.827,8.694084833333335,8.756,7.751,3.01966701942077,20.479,9.494,0.019660198444922,9.569,50.16913333333336,50.473,0.2751099297486873,54.722583333333326,54.937,0.1625465035588553,51.57951666666666,51.77,0.0613264373733219,46.08381666666666,46.18,0.0627592903965093,2359.8,195.82091541393413,2861.6,18.468,-0.3299999999999983,1.39,-0.0230000000000001,69.166,0.0759999999999934,1
33,0.0420102859344445,0.752,14.758764996962649,190.58,152.99,46.12725578557802,166.38,126.9,0.8703414360833591,10.695,1.992,8.752250333333343,8.82,8.687685500000033,8.755,7.752,3.010008636735456,20.479,9.486,0.0180419828214391,9.548,50.28476666666669,50.578,0.2694526383129055,54.86733333333332,55.102,0.1699172946043142,51.73011666666665,51.828,0.0642081075367148,46.20784999999999,46.363,0.0969390556405132,2359.0,195.49750403382112,2857.6,19.227,0.7590000000000003,1.448,0.058,69.217,0.0510000000000019,1
34,0.067551077138702,0.965,14.764007765853211,190.7,152.94,46.10332892712658,166.49,126.76,0.8703169796234066,10.937,1.992,8.742353666666656,8.807,8.678553500000012,8.743,7.741,3.0241645909646344,20.479,9.474,0.018687884757989,9.539,50.38808333333332,50.703,0.2429537370809146,54.98786666666667,55.223,0.1737955614368253,51.8691,52.043,0.086647679362941,46.36218333333336,46.48,0.0753463171901872,2357.0,196.2070525535511,2861.4,18.808,-0.4190000000000005,1.425,-0.0229999999999999,69.216,-0.0010000000000047,1
35,0.0518726684180943,0.841,14.766434277329784,190.58,152.91,46.11007551869233,166.31,126.745,0.8692409140313134,10.641,1.977,8.745542833333339,8.806,8.68209366666668,8.741,7.7445,3.0033472645115986,20.479,9.466,0.0172946995717671,9.525,50.501483333333326,50.797,0.2719847635106071,55.08979999999998,55.305,0.1735453635806473,51.95345,52.051,0.0743544933273447,46.35541666666667,46.461,0.0650140249971315,2355.8,195.49404097914413,2855.6,19.111,0.3030000000000008,1.449,0.024,69.196,-0.019999999999996,1
36,0.054754397702802,0.808,14.763271183263274,190.56,152.91,46.1148819591348,164.99,126.77,0.868994156171563,10.75,1.977,8.743158666666655,8.809,8.67982350000007,8.739,7.751,2.997642122148064,20.423,9.462,0.0174350863795327,9.512,50.59571666666666,50.879,0.274131051900034,55.21276666666667,55.449,0.1797774864457962,52.05933333333336,52.219,0.0576957733277491,46.48551666666666,46.625,0.0810556393267405,2357.2,195.3724904825441,2855.6,19.089,-0.022000000000002,1.443,-0.006,69.107,-0.0889999999999986,1
37,0.0494138067121458,0.826,14.777406975326093,190.56,152.89,46.07884779409811,166.22,126.76,0.8662368601269109,11.031,1.969,8.737774666666672,8.806,8.67607833333342,8.747,7.741,3.0121807959906914,20.479,9.451,0.0173707088158052,9.514,50.67221666666667,51.008,0.2657680964176223,55.29843333333333,55.477,0.1581454347462284,52.14393333333335,52.293,0.0803738861939679,46.57316666666666,46.633,0.05793338274396,2358.0,195.42376663592697,2856.6,18.894,-0.1950000000000002,1.424,-0.0190000000000001,69.128,0.0210000000000007,1
38,0.0559747118043668,0.897,14.758082334362422,190.56,152.98,46.13576611833122,166.26,126.86,0.8676091554028461,10.445,1.977,8.732193833333332,8.801,8.670217666666707,8.739,7.748,3.019187538554581,20.479,9.443,0.0161727519254269,9.494,50.71944999999999,51.023,0.2564280997452959,55.35195,55.52,0.139385749946454,52.29423333333333,52.473,0.0761139570859167,46.65569999999999,46.723,0.0488679646200015,2359.6,196.14140835702597,2859.4,18.905,0.0110000000000027,1.431,0.0070000000000001,68.889,-0.2390000000000043,1
39,0.0398096601285168,0.734,14.791619398567192,190.6,152.875,46.10712922969576,166.5,126.695,0.8677240505025988,11.086,1.992,8.736621833333352,8.795,8.674893166666736,8.735,7.749,3.0101112556320397,20.479,9.439,0.0172373847962283,9.494,50.814416666666666,51.129,0.248365455966634,55.45013333333333,55.645,0.1530757502373724,52.3344,52.473,0.072017229576902,46.58028333333333,46.699,0.0646518948997186,2355.8,196.71375141295837,2861.6,18.675,-0.2300000000000004,1.416,-0.0150000000000001,68.946,0.0570000000000021,1
40,0.0448677246120683,0.781,14.765385317430514,190.93,152.94,46.122030181283776,166.29,126.76,0.8745117597301307,10.836,1.992,8.737543666666642,8.805,8.675093166666692,8.737,7.752499999999999,3.006598200384139,20.479,9.441,0.0160651064757378,9.501,50.90516666666668,51.223,0.2609237284924376,55.54883333333331,55.723,0.1521196191524071,52.41903333333334,52.469,0.0413410645220856,46.510100000000016,46.707,0.0738437883964912,2360.4,194.5931222943648,2859.8,19.79,1.1149999999999984,1.511,0.0949999999999999,69.148,0.2019999999999981,1
41,0.0341772506687831,0.733,14.800616528473606,190.59,152.76,46.05382670417954,166.44,126.66,0.8768348056766718,11.133,1.992,8.727892000000013,8.787,8.667084833333387,8.729,7.749499999999999,3.001509821786996,20.479,9.432,0.0170634736824718,9.485,50.97944999999999,51.301,0.2520356730871138,55.60164999999998,55.773,0.1280349296884994,52.49253333333333,52.672,0.0641025308648324,46.75795000000001,46.867,0.094682596435652,2356.0,196.60932761621697,2859.8,19.378,-0.411999999999999,1.49,-0.0209999999999999,68.989,-0.1589999999999918,1
42,0.0437224166476891,0.75,14.812274686210776,190.59,152.79,46.05180751496434,164.18,126.92,0.8675081212518774,10.922,1.977,8.724992500000013,8.795,8.66449266666676,8.724,7.748,2.986500933127234,20.347,9.424,0.0171682659946223,9.47,51.06951666666665,51.395,0.2551028035821641,55.68198333333332,55.891,0.1424727736900562,52.53968333333332,52.684,0.074126207462465,46.80316666666666,46.937,0.0616155842785629,2357.4,196.28590720011744,2859.8,19.054,-0.3240000000000016,1.463,-0.0269999999999999,69.118,0.1289999999999906,1
43,0.0631159344891658,0.908,14.845990257992636,190.6,152.76,46.04689644531669,166.38,127.025,0.8766470560961992,11.062,1.992,8.726438666666684,8.787,8.666371833333393,8.727,7.749499999999999,2.9929587430154925,20.479,9.419,0.0162072086299538,9.477,51.11586666666664,51.398,0.2595879046219004,55.73405000000002,55.941,0.1553837703934847,52.64298333333336,52.785,0.0705865238174589,46.80361666666667,46.879,0.0493953582073192,2354.4,197.1308393178261,2861.0,19.026,-0.0279999999999986,1.463,0.0,68.943,-0.1749999999999971,1
44,0.0578124378149001,0.846,14.843149902671248,190.55,152.73,46.03677080991292,166.18,127.05,0.8705871795905528,11.078,1.992,8.717881500000015,8.783,8.657165833333382,8.722,7.751,2.9955189861793454,20.479,9.414,0.017016950860339,9.466,51.193216666666665,51.477,0.2545728287568075,55.79246666666669,55.977,0.156675684317948,52.719516666666685,52.867,0.0669703935767073,46.90495000000001,47.043,0.0783398560813549,2353.6,196.35190294503988,2857.8,19.233,0.2070000000000007,1.48,0.0169999999999999,69.134,0.1910000000000025,1
45,0.0563504244791736,0.839,14.836762198047708,190.55,152.72,46.05271572109825,166.27,127.035,0.872080615739134,10.992,1.992,8.717563500000042,8.78,8.657379833333398,8.715,7.754,2.9906462998221564,20.479,9.406,0.0171777544409898,9.461,51.21803333333333,51.484,0.2445119640528283,55.84343333333334,56.047,0.150104976449158,52.791566666666654,52.875,0.0578447268934555,46.92588333333335,47.117,0.101167270728565,2355.6,195.82994888799772,2853.6,19.4,0.166999999999998,1.49,0.01,69.019,-0.1149999999999948,1
46,0.0719563112899992,0.875,14.832303989953727,190.58,152.7,46.05596859141528,166.21,127.005,0.8678983281138863,10.812,1.977,8.7169841666667,8.786,8.65667250000004,8.717,7.764,3.013165565255152,20.479,9.405,0.016193314297433,9.45,51.28616666666666,51.566,0.2426103220425332,55.90363333333334,56.141,0.1638467625005785,52.857,52.969,0.0527761502375678,46.96061666666669,47.105,0.0874290204441253,2358.0,196.13585969944123,2861.0,19.515,0.1150000000000019,1.505,0.0149999999999999,69.158,0.1389999999999958,1
47,0.051342144668966,0.777,14.85679071422818,190.56,152.68,46.04171179181603,166.41,126.95,0.8683364990614817,10.977,1.977,8.709383166666656,8.777,8.649768000000062,8.714,7.756,3.0165060934788435,20.479,9.402,0.017318454858523,9.466,51.34835,51.656,0.2419879409378121,55.98213333333332,56.215,0.1688533077793346,52.88723333333334,53.051,0.0647308290228752,46.91843333333333,47.094,0.0736193523439868,2351.8,198.06617869244917,2862.2,19.503,-0.0120000000000004,1.511,0.006,69.141,-0.0169999999999959,1
48,0.0417714388948314,0.747,14.858508122228706,190.55,152.69,46.0586742180276,166.3,127.03,0.866872231402732,11.023,1.969,8.707593500000007,8.771,8.64905750000006,8.712,7.7615,2.993855063182012,20.479,9.3955,0.0166350311890296,9.445,51.39461666666667,51.727,0.2628994840249123,56.03313333333334,56.234,0.1749124203773419,52.93271666666667,53.098,0.0714551160926862,46.97998333333335,47.117,0.0902293671736922,2353.4,196.12087331941703,2853.4,19.581,0.0779999999999994,1.505,-0.006,69.201,0.059999999999988,1
49,0.0421166626982262,0.746,14.84937365378256,190.78,152.73,46.028831528364265,166.21,127.06,0.8642783289728327,11.133,1.969,8.703713333333342,8.76,8.646877166666748,8.71,7.758,2.991736016761372,20.479,9.394,0.0164343484884337,9.449,51.46833333333334,51.742,0.2631489664260024,56.08488333333332,56.289,0.1567609744398927,52.99711666666665,53.078,0.0464864083167553,47.009116666666685,47.121,0.0717642306602675,2351.8,197.1200547416647,2855.6,19.461,-0.120000000000001,1.506,0.0010000000000001,69.341,0.1400000000000005,1
50,0.0408751164064756,0.756,14.828756986280304,190.56,152.79,46.07157880046597,166.28,127.085,0.8659836366770859,10.859,1.969,8.700791833333364,8.758,8.643941000000028,8.705,7.759,2.9907108710846724,20.479,9.391,0.0163837616583248,9.435,51.52106666666666,51.809,0.2505375824621698,56.16261666666665,56.379,0.1567738403103324,53.03020000000001,53.117,0.0530164029622046,46.98943333333335,47.066,0.045130457477079,2353.0,196.664303450764,2855.8,19.551,0.0899999999999998,1.507,0.0009999999999998,69.234,-0.1069999999999993,1
