cycle,FS1_median,FS1_std,FS1_max,FS2_median,FS2_std,FS2_max
58,7.755,3.0067725160756567,20.479,9.354,0.01733291802614482,9.415
59,7.753,3.0018798867411824,20.479,9.35,0.01733043865752759,9.425
60,7.756,2.988597498856698,20.479,9.343,0.016977050124814277,9.403
61,7.751,2.981692011404544,20.479,9.342,0.016593652868668738,9.398
62,7.7524999999999995,2.989774505560327,20.479,9.339,0.016784252016353574,9.398
63,7.752,2.987000883460456,20.479,9.339,0.01669368238944099,9.394
64,7.7535,2.9840016020324303,20.479,9.331,0.017462709374487958,9.384
65,7.751,2.988760151779273,20.479,9.332,0.016688142118517393,9.384
66,7.758,3.0027977769210175,20.479,9.334,0.01696377946031443,9.392
67,7.756,2.990784975340566,20.479,9.338,0.017822112951957826,9.394
68,7.756,2.999166256499219,20.479,9.337,0.01943533940837549,9.405
69,7.751,2.986949339445892,20.479,9.3275,0.018199581027667566,9.383
70,7.749,2.982474813345894,20.479,9.327,0.016720984054029622,9.394
71,7.7524999999999995,2.986804398995743,20.479,9.326,0.01801508642494293,9.383
72,7.7535,2.9832341247423524,20.479,9.33,0.017634830461589795,9.395
73,7.751,2.9893637113938363,20.479,9.329,0.017709393974586884,9.405
74,7.750500000000001,3.00131942112853,20.479,9.321,0.017337848738728612,9.388
75,7.7535,2.9842640678915697,20.479,9.321,0.01947441560368821,9.379
76,7.7535,2.9987929461499485,20.479,9.316,0.01771069649032782,9.375
77,7.750500000000001,2.9851488837945066,20.479,9.312,0.018454546124916833,9.374
78,7.749499999999999,2.978388253023983,20.479,9.31,0.01777111001431231,9.363
79,7.747,2.988624028421941,20.479,9.307,0.01686448978123933,9.374
80,7.749,2.980286702008019,20.479,9.308,0.01863086570528096,9.372
81,7.741,2.9883858540055868,20.479,9.302,0.017930606048811772,9.37
82,7.738,2.981342291882327,20.479,9.299,0.018012154354976957,9.35
83,7.741,2.9788608898073097,20.479,9.299,0.01907176383685154,9.368
84,7.744,2.9810624346902608,20.479,9.296,0.019100690856813794,9.354
85,7.741,2.985421447377925,20.479,9.294,0.01735707162651496,9.346
86,7.746,2.983241455882463,20.479,9.289,0.019166303207218988,9.347
87,7.741,2.979021610789602,20.479,9.291,0.0194964931281513,9.369
88,7.745,2.9867199946875953,20.479,9.286,0.018507065534006842,9.358
89,7.746,2.985658911388877,20.479,9.288,0.01928718611243701,9.344
90,7.748,2.991092650476876,20.479,9.284,0.018242458973629763,9.339
91,7.7455,2.9859203551074622,20.479,9.28,0.01893131156565742,9.341
92,7.749,2.9819408081114105,20.479,9.281,0.018683680263275295,9.341
93,7.746,2.9880392225543315,20.479,9.283,0.018371335051813167,9.334
94,7.749,2.9922116513351193,20.479,9.2895,0.018312867946964587,9.364
95,7.752,2.989527183904292,20.479,9.285,0.018092578346039265,9.349
96,7.7524999999999995,2.9806225785211167,20.479,9.284,0.018332670524771923,9.343
97,7.749,2.9763393317900584,20.479,9.281,0.018895384307702854,9.336
98,7.744,2.9844627126731065,20.479,9.274,0.01863877330565122,9.326
99,7.747,2.9928347455141244,20.479,9.276,0.019062019199443007,9.331
100,7.743,2.9860998703420236,20.479,9.268,0.019041091376903633,9.336
101,7.743,2.975122583595624,20.479,9.259,0.018155565854802394,9.309
102,7.733499999999999,2.9763641504230898,20.479,9.256,0.01881281723655924,9.309
103,7.739,2.9840234065671227,20.479,9.256,0.018341984021691165,9.314
104,7.739,2.977416896278713,20.479,9.261,0.019486107946270606,9.323
105,7.743,2.9837884907005496,20.479,9.258,0.019641783608617805,9.331
106,7.741,2.9882251366378467,20.479,9.257,0.018508649484275545,9.324
107,7.737,2.9819665654837197,20.479,9.254,0.018102886487112304,9.308
108,7.738,2.980711628333525,20.479,9.254,0.01899242622089814,9.314
109,7.734500000000001,2.9996081291080183,20.479,9.252,0.017316619360188728,9.302
110,7.735,2.9738251600368173,20.479,9.249,0.01705751147822315,9.301
111,7.735,2.9766784539963944,20.479,9.249,0.017514740671508794,9.307
112,7.739,2.9769345006495334,20.479,9.245,0.018438996489545105,9.3
113,7.737,3.001987499922535,20.479,9.243,0.018457231090318615,9.304
114,7.739,2.977962540122499,20.479,9.252,0.02093535934745883,9.314
115,7.733499999999999,2.9722120166048,20.479,9.246,0.018447277141775204,9.304
116,7.733,2.9886535017220703,20.479,9.24,0.017702825340654937,9.312
117,7.736,2.9749870799156417,20.479,9.239,0.018830880092951655,9.288
118,7.734,2.9796263369495892,20.479,9.2375,0.019161686101331628,9.288
119,7.733499999999999,2.976361604861498,20.479,9.233,0.018228565217043514,9.296
120,7.733,2.9819029948533,20.479,9.234,0.02003717635503296,9.307
121,7.7315000000000005,2.9772106486454573,20.479,9.231,0.018430044834119263,9.291
122,7.726,2.9813680082287233,20.479,9.229,0.018849630496076526,9.284
123,7.724,2.9775080734065007,20.479,9.229,0.019486850367073552,9.297
124,7.726,2.992444287642902,20.479,9.229,0.01841395154698868,9.289
125,7.727,2.9777523996067807,20.479,9.232,0.018098375826801953,9.292
126,7.73,2.983024141228761,20.479,9.229,0.01820702684068143,9.297
127,7.733,2.9835293993440284,20.479,9.2315,0.01933607957391606,9.281
128,7.728,2.9867659653014376,20.479,9.227,0.019973112073453154,9.281
129,7.7285,2.9836238556690446,20.479,9.229,0.017929056928893072,9.292
130,7.729,2.980999463666333,20.479,9.234,0.018536063227003723,9.288
131,7.7315000000000005,2.9754971867315017,20.479,9.23,0.01819422748415356,9.296
132,7.73,2.974253614854155,20.479,9.229,0.01851512459099106,9.281
133,7.735,2.987717713548025,20.479,9.224,0.019540053395527272,9.279
134,7.735,2.9786887551081955,20.479,9.229,0.019543708701401374,9.292
135,7.734,2.974850936983305,20.479,9.231,0.019210400806991903,9.29
136,7.736,2.975088074564558,20.479,9.225,0.01929640162694769,9.28
137,7.733,2.973092239409548,20.479,9.226,0.018007136330362383,9.283
138,7.733,2.978382843831465,20.479,9.222,0.02009706302238625,9.292
139,7.734500000000001,2.9842191431579974,20.479,9.224,0.01982973265482761,9.271
140,7.733499999999999,2.9815505706456156,20.479,9.225,0.018265356168134336,9.281
141,7.732,2.980113187113968,20.479,9.226,0.019226420562209336,9.279
142,7.7325,2.981288961799096,20.479,9.224,0.02046940623324134,9.289
143,7.731,2.977813866492071,20.479,9.225,0.02029406182765449,9.292
144,7.734500000000001,2.9727608022357606,20.479,9.224,0.01961001179510968,9.296
145,7.733,2.979786632338873,20.479,9.218,0.019281905386859536,9.267
146,7.733,2.9720065385368404,20.479,9.221,0.0197871095682011,9.288
147,7.731,2.9768759418777515,20.479,9.219,0.017947452436780784,9.272
148,7.734500000000001,2.9774351110236053,20.479,9.22,0.01825033491585572,9.271
149,7.736,2.971905918275083,20.479,9.218,0.019291074384756222,9.279
150,7.736,2.9718827097127116,20.479,9.219,0.019021229682411513,9.277
151,7.734500000000001,2.971996337066178,20.479,9.217,0.019070842288641053,9.267
152,7.736,2.9722169485609125,20.479,9.22,0.019929580465180025,9.284
153,7.732,2.9718849974824044,20.479,9.214,0.020968590271243183,9.287
154,7.734,2.972287099543356,20.479,9.214,0.01999073213202009,9.273
155,7.733,2.973604919196134,20.479,9.217,0.017868190804516293,9.267
156,7.7355,2.974818242683633,20.479,9.218,0.018846644012656146,9.274
157,7.732,2.9690943083512344,20.479,9.214,0.018375714584131488,9.266
158,7.733,2.978957419672533,20.479,9.216,0.021111351112578138,9.276
159,7.733,2.970544289231807,20.479,9.217,0.019354542604289544,9.269
160,7.731,2.9873422246596184,20.479,9.214,0.019100530690969942,9.272
161,7.726,2.9759308661993282,20.479,9.216,0.018567411734535244,9.273
162,7.727,2.9708029571285057,20.479,9.2135,0.019383916638869955,9.277
163,7.726,2.983608071171461,20.479,9.216,0.01998173094374134,9.272
164,7.724,2.9772919308982577,20.479,9.214,0.019054095442820954,9.287
165,7.7204999999999995,2.9723818091106478,20.479,9.211,0.01911998076465391,9.266
166,7.723,2.9688934028628586,20.479,9.214,0.018376707254150033,9.267
167,7.725,2.9830194606516733,20.479,9.21,0.019403548473870765,9.272
168,7.726,2.972077512363428,20.479,9.211,0.020029763885054747,9.285
169,7.726,2.9693761025616316,20.479,9.216,0.019694901517868884,9.283
170,7.724,2.9782396937994884,20.479,9.214,0.018146595821250715,9.271
171,7.724,2.9744534445714903,20.479,9.214,0.018681109763400292,9.276
172,7.733,2.9742619671167647,20.479,9.214,0.0183820881793104,9.283
173,7.7305,2.9794867489946344,20.479,9.209,0.018644277156096598,9.264
174,7.7315000000000005,2.9774256600065314,20.479,9.2105,0.02022111383257459,9.262
175,7.7315000000000005,2.9774284798437836,20.479,9.207,0.019032327519723717,9.267
176,7.73,2.980314298723144,20.479,9.206,0.01954414947035958,9.27
177,7.729,2.975526700022352,20.479,9.209,0.020865080474184956,9.276
178,7.7325,2.974014089426418,20.479,9.208,0.019034052532638644,9.29
179,7.733499999999999,2.986471882736302,20.479,9.204,0.019542137954053254,9.264
180,7.728,2.97513808478331,20.479,9.201,0.020181476048960062,9.263
181,7.727,2.9742989342070243,20.479,9.189,0.021303291943616357,9.252
182,7.731,2.9727475169425395,20.479,9.192,0.021909206080413204,9.261
183,7.732,2.985848534991699,20.479,9.193,0.0201841118775919,9.251
184,7.729,2.977098208900677,20.479,9.192,0.020067781358102815,9.251
185,7.727,2.975631173268864,20.479,9.187,0.020410756858777596,9.254
186,7.726,2.970054757964248,20.479,9.189,0.021885877866153224,9.264
187,7.7295,2.9710800873542618,20.479,9.191,0.02012631120930295,9.256
188,7.728,2.975798497143414,20.479,9.194,0.02116087647943376,9.258
189,7.728,2.9747826889721267,20.479,9.194,0.019870756582664465,9.25
190,7.7325,2.9777338152437833,20.479,9.196,0.02111738794112001,9.259
191,7.73,2.968913688407825,20.479,9.196,0.018673652500740736,9.254
192,7.7305,2.9802254095426006,20.479,9.194,0.019334564201026846,9.252
193,7.728,2.978012661258796,20.479,9.191,0.021848901300422798,9.259
194,7.731,2.9719576465389554,20.479,9.187,0.021626882977776683,9.246
195,7.729,2.971005026183791,20.479,9.187,0.020609387296599488,9.238
196,7.723,2.9716222065935782,20.479,9.184,0.0199125173507874,9.267
197,7.719,2.966995661735704,20.479,9.184,0.02041304590110182,9.25
198,7.72,2.96540589899571,20.479,9.182,0.020332593197436518,9.25
199,7.722,2.9656754721590546,20.479,9.18,0.020449117329479415,9.252
200,7.724,2.9810475385859587,20.479,9.185,0.023889047697401102,9.258
201,7.724,2.971800131047743,20.479,9.184,0.02108498953113577,9.259
202,7.724,2.9699413872771956,20.479,9.184,0.021347876233937208,9.257
203,7.723,2.984331923839902,20.479,9.19,0.020681848880645844,9.264
204,7.718,2.9713710723262805,20.479,9.189,0.02075798208535653,9.252
205,7.721500000000001,2.974110349423527,20.479,9.191,0.02218562097312747,9.252
206,7.724,2.9750362793184544,20.479,9.194,0.019347077416580576,9.26
207,7.721500000000001,2.967006766960467,20.479,9.193,0.019714840783889524,9.256
208,7.721500000000001,2.9724745059200193,20.479,9.194,0.020520764284831444,9.244
209,7.722,2.9701109356072166,20.479,9.197,0.01887724447401036,9.263
210,7.379,2.854885606682451,20.479,9.196,0.019867179936264856,9.252
211,1.121,3.2872655379789744,20.479,9.201,0.020045319827011236,9.267
212,7.572,2.9851744435995844,20.479,9.2,0.01976168532822259,9.258
213,7.452500000000001,2.9347876728928495,20.479,9.211,0.01901662680810134,9.283
214,6.7625,3.7188167971747146,20.479,9.205,0.020514350949526933,9.28
215,6.8735,3.690299309571475,20.479,9.201,0.01916293694808678,9.252
216,7.3485,2.877426299579726,20.479,9.203,0.019395574522916674,9.26
217,7.349,2.8660034202832216,20.479,9.198,0.019855144593621397,9.251
218,7.343,2.869906845943996,20.479,9.194,0.020377586517446474,9.247
219,7.349,2.8750901888440303,20.479,9.198,0.021109380390156376,9.254
220,7.347,2.862482390745155,20.479,9.196,0.01782072029370063,9.25
221,7.349,2.897659404652804,20.479,9.199,0.01975262702392104,9.267
222,7.348,2.8997267720979107,20.479,9.196,0.01925424625600894,9.261
223,7.351,2.8960281643145427,20.479,9.203,0.02093230895416171,9.26
224,7.353,2.87560462761003,19.987,9.198,0.02040916899796602,9.262
225,7.351,2.898162802232527,20.479,9.198,0.02101616987502522,9.259
226,7.351,2.8866809808739613,19.967,9.198,0.018462606405408342,9.256
227,7.353,2.897821575041551,20.479,9.199,0.019659531000360813,9.254
228,7.354,2.9008430312728106,20.404,9.209,0.01832095570429547,9.274
229,7.356,2.8982914524873946,20.348,9.204,0.017874444237987314,9.256
230,7.3515,2.89029705881637,19.96,9.201,0.01851557053546439,9.266
231,7.356,2.8868697185620404,20.479,9.203,0.01940560704702802,9.268
232,7.354,2.8828520437728806,20.479,9.199,0.019789273202667605,9.254
233,7.351,2.8833716034870034,20.479,9.203,0.0191061481479298,9.261
234,7.3525,2.887135927827308,20.479,9.201,0.018118388879299542,9.254
235,7.354,2.880620931771934,19.981,9.1995,0.02005525589003271,9.267
236,7.355,2.8837780358797716,20.176,9.204,0.01862414197864524,9.26
237,7.352,2.8708341737700613,19.961,9.203,0.018754151163551305,9.252
238,7.351,2.8912936208157096,20.479,9.201,0.018263275562706627,9.278
239,7.355,2.8868950977184706,20.479,9.201,0.01871670525622243,9.269
240,7.353,2.884736830450423,19.998,9.199,0.01810735737780558,9.252
241,7.351,2.830523641154721,20.479,9.199,0.01858751802628035,9.267
242,7.347,2.8430692360783665,20.479,9.203,0.018130006916901656,9.258
243,7.3485,2.8491730977970344,20.479,9.201,0.01924500607338461,9.258
244,7.3445,2.840732245649822,20.479,9.199,0.019812139342612847,9.259
245,7.345,2.8297181455982683,20.479,9.198,0.01988846585366109,9.263
246,7.348,2.8491456615900055,20.479,9.198,0.019240517831725465,9.256
247,1.116,3.268069472795918,20.479,9.185500000000001,0.019398509414421332,9.256
248,7.358499999999999,2.8855779211462433,20.479,9.181,0.017830302531631512,9.247
249,7.336,2.8293263641746793,20.479,9.19,0.019717741065940167,9.248
250,7.336,2.8265057379755256,20.479,9.187999999999999,0.0194125397631441,9.247
251,7.4535,2.8679287244577467,20.479,9.187,0.018892105272439407,9.257
252,7.452,2.9127639565959926,20.479,9.186,0.01801000896521437,9.241
253,7.454,2.900919929640573,20.479,9.189,0.01926252311831696,9.249
254,7.458,2.898292700803794,20.479,9.186,0.020353675771661493,9.246
255,7.459,2.898547519799894,20.479,9.187,0.01881502347896996,9.249
256,7.463,2.9006065020727037,20.479,9.182,0.01847616273243787,9.239
257,7.464,2.908709244856857,20.479,9.186,0.01873893485408863,9.237
258,7.462,2.9027379613926123,20.479,9.189,0.01844341132376687,9.248
259,7.4670000000000005,2.9026559673852526,20.479,9.192,0.019479167131642466,9.252
260,7.4645,2.915203814887468,20.479,9.187,0.018745371975674496,9.24
261,7.4645,2.9358836183963333,20.479,9.187,0.019050262940067245,9.25
262,7.471,2.9354235052644047,20.322,9.197,0.019011720310954806,9.261
263,7.462,2.932450076621143,20.294,9.192,0.017944777018935685,9.259
264,7.461,2.9158926021395266,20.178,9.187,0.018952883324458037,9.248
265,7.467499999999999,2.9098620213632613,20.294,9.193,0.019565585666155197,9.243
266,7.466,2.9399832185344748,20.479,9.189,0.018532258494232495,9.266
267,7.469,2.9392679764703615,20.479,9.192,0.020465207183510137,9.258
268,7.469,2.9257705021687195,20.026,9.192,0.01900789134075734,9.262
269,7.468500000000001,2.9248479303077812,20.167,9.189,0.018174090420275252,9.246
270,7.468500000000001,2.9309249550930696,20.231,9.187,0.019463934371945303,9.247
271,7.467,2.93956416158882,20.479,9.187,0.0192024518467881,9.245
272,7.467,2.9276510875355006,20.378,9.189,0.020544234345194614,9.259
273,7.465,2.9246639405232897,20.479,9.196,0.018499091932774152,9.254
274,7.466,2.9268550912840947,20.479,9.192,0.018252787424059773,9.24
275,7.4665,2.9244901225404054,20.479,9.192,0.02013053644331983,9.261
276,7.464,2.919955890225969,20.479,9.192,0.018972055644583995,9.263
277,7.46,2.924385387203292,20.479,9.197,0.01836984778747814,9.252
278,7.462,2.9200761191391056,20.479,9.196,0.018133481148535014,9.254
279,7.461,2.917032198433891,20.012,9.194,0.018872058398663374,9.26
280,7.458,2.924881599264523,20.479,9.194,0.019745260767084275,9.268
281,7.458,2.924879735723271,20.479,9.187999999999999,0.019306931221996632,9.251
282,7.456,2.898453193681059,20.479,9.19,0.0197604090192405,9.25
283,7.452500000000001,2.875515038098779,20.479,9.187,0.019636683259602494,9.245
284,7.455,2.8729655871875948,20.479,9.186,0.018153114236489257,9.243
285,7.458,2.8732470773792382,20.479,9.186,0.01865983093396458,9.247
286,7.458,2.8729293883393603,20.479,9.187,0.01933743755967976,9.256
287,7.4635,2.873387608831135,20.479,9.191,0.019337144674498756,9.251
288,7.462,2.887447336774487,20.479,9.19,0.01939286710054813,9.261
289,7.463,2.8765213854162144,20.479,9.187,0.01905927811748095,9.249
290,7.466,2.8747640458225687,20.479,9.187,0.018712465974860825,9.258
291,7.462,2.9033530855444654,20.479,9.181,0.017509440255254034,9.233
292,7.726,2.9802118992067697,20.479,9.187,0.018948336094089063,9.249
293,7.732,3.017957723987027,20.479,9.189,0.017645339233381203,9.234
294,7.723,3.00199837337066,20.479,9.181,0.017495350841218282,9.237
295,7.724,3.0129587998311043,20.479,9.1765,0.017302985852772873,9.249
296,7.724,3.011181158695265,20.479,9.176,0.017435380017351836,9.231
297,7.724,3.0066368276341646,20.479,9.167,0.01617053112283754,9.226
298,7.723,3.013127172127751,20.479,9.165,0.01760097120998666,9.223
299,7.7195,3.014790661590106,20.479,9.16,0.017304460778277214,9.21
300,7.721,3.011192393836063,20.479,9.161,0.016445640629512752,9.221
301,7.718,3.0002935871327634,20.479,9.161,0.018305863266690987,9.218
302,7.72,3.0111017148588544,20.479,9.163,0.017440948943668363,9.231
303,7.716,3.0251188743554587,20.419,9.160499999999999,0.01761847281427022,9.22
304,7.7195,3.0084646238880497,20.458,9.16,0.01724562794916896,9.209
305,7.716,3.0262614760091306,20.479,9.154,0.01760574467067542,9.209
306,7.718,3.0248419483795654,20.479,9.146,0.017555632535538858,9.206
307,7.716,3.017303461286757,20.283,9.145,0.016666853783034206,9.205
308,7.718,3.0120689440936257,20.298,9.146,0.017349133781272476,9.208
309,7.712,3.0274805457549805,20.479,9.141,0.016534860898430297,9.206
310,7.714,2.982444619521276,20.454,9.14,0.017226727221776948,9.203
311,7.712,3.018663403379393,20.293,9.139,0.01735006523027258,9.205
312,7.712,3.005756555579294,20.474,9.136,0.016556218706334322,9.184
313,7.715,3.00884630883348,20.479,9.1385,0.017417834057044283,9.196
314,7.716,3.008755650224883,20.479,9.137,0.017158878189538724,9.205
315,7.718,3.0015658778819834,20.173,9.136,0.01731151745562999,9.192
316,7.72,3.0033611705662926,20.283,9.134,0.01712025098760778,9.201
317,7.722,3.0076946617555462,20.479,9.141,0.017733831781355507,9.2
318,7.724,3.0040768156811635,20.388,9.139,0.016997862234240577,9.194
319,7.72,3.001223631811553,20.231,9.142,0.016170703188944195,9.2
320,7.721500000000001,3.0132648257468957,20.479,9.143,0.015943356799727124,9.218
321,7.721,3.013666447639254,20.479,9.1445,0.016748952491768214,9.211
322,7.721,3.0113197661820417,20.479,9.148,0.016583050461369903,9.212
323,7.722,2.983990817165065,20.479,9.149,0.01731429201112224,9.212
324,7.7204999999999995,2.985224578794749,20.479,9.152,0.016451509158412033,9.209
325,7.7204999999999995,2.9725904075390748,20.479,9.154,0.01696381267452327,9.217
326,7.721,2.9711229922989184,20.479,9.154,0.015930619519843953,9.209
327,7.724,2.9629840338480764,20.479,9.154,0.017117366631601617,9.221
328,7.722,2.965785554203563,20.479,9.156,0.017012284343571694,9.213
329,7.721,2.9638289555735997,20.479,9.16,0.017279436345637188,9.223
330,7.716,2.984916160653837,20.479,9.161,0.018670472225167243,9.229
331,7.724,2.9699136475682657,20.479,9.17,0.017423469594488726,9.229
332,7.721,2.984613026449433,20.479,9.169,0.017144558379427542,9.237
333,7.718,2.995567479100536,20.479,9.177,0.017772823194305638,9.234
334,7.705,2.9860025971117747,20.479,9.185,0.019168099121424934,9.244
335,7.7065,3.000959240402945,20.479,9.18,0.018992327698518257,9.248
336,7.7035,2.997664442468217,20.479,9.181,0.01857995034475549,9.244
337,7.699999999999999,2.998130689109739,20.479,9.186,0.017752718054724764,9.244
338,7.708,2.9925057232853174,20.479,9.189,0.02018262088692479,9.243
339,7.7095,2.9954142102733305,20.479,9.187,0.017695589479696534,9.244
340,7.708,2.9924052564279844,20.479,9.187,0.018914756497390946,9.245
341,7.711,3.0007871567028968,20.479,9.186,0.018184720879237084,9.25
342,7.708,3.0027606117069507,20.479,9.183499999999999,0.017998823231799063,9.236
343,1.102,3.5933614537808585,20.479,9.185,0.01810352317850538,9.241
344,7.3355,2.924758427560848,20.479,9.198,0.017451201619147743,9.254
345,1.097,3.574561014484764,20.479,9.193,0.018567251688955594,9.25
346,1.103,3.5724634320841107,20.479,9.19,0.02052041344211376,9.251
347,1.104,3.5743438170166852,20.479,9.189,0.01854052810807812,9.246
348,1.101,3.5687072820806267,20.479,9.182,0.01801898800627195,9.244
349,1.111,3.5644922925987017,20.479,9.184,0.019437428970000874,9.247
350,7.3205,2.923226455846679,20.479,9.184,0.017796540637250564,9.233
351,1.108,3.563095763774146,20.479,9.173,0.016865051138864887,9.227
352,1.109,3.5714907644241896,20.479,9.171,0.019250635500354267,9.241
353,1.111,3.5738062942720963,20.479,9.172,0.01902128665817441,9.248
354,1.132,3.596055543650807,20.479,9.161,0.01819035285851869,9.239
355,1.115,3.5690561135887044,20.479,9.159,0.018943469192355865,9.227
356,1.114,3.595336628520969,20.479,9.152,0.019742495809552705,9.223
357,1.133,3.6048633233638077,20.479,9.125,0.0243526290118446,9.209
358,1.122,3.6035197896658038,20.479,9.113,0.017951791933162927,9.158
359,1.132,3.5964376076853943,20.479,9.102,0.01719275772518745,9.163
360,1.128,3.5508061646564375,20.479,9.091,0.01715488633622156,9.134
361,1.144,3.604558911560295,20.479,9.087,0.01861633816690532,9.156
362,1.132,3.5889378553010047,20.479,9.083,0.018733038776233734,9.142
363,1.151,3.5994004745793897,20.479,9.073,0.018934955808627623,9.127
364,1.163,3.6044485835294884,20.479,9.069,0.018810798293612156,9.129
365,6.6555,3.70752721467217,20.479,9.062,0.01909933148028695,9.116
366,1.159,3.6019746486389863,20.479,9.056,0.018957520976070532,9.116
367,1.142,3.59017573662097,20.479,9.046,0.020887860751327154,9.118
368,1.173,3.614861753994156,20.479,9.038,0.018851795162715484,9.096
369,1.151,3.616805300884294,20.479,9.034500000000001,0.019796408391361105,9.091
370,1.151,2.8173916868213316,20.479,9.031,0.020210263402544313,9.103
371,1.146,3.5516491049659216,20.479,9.016,0.020073968946648438,9.076
372,1.148,3.6015883487749845,20.479,9.018,0.01943948674640938,9.076
373,1.151,3.599867877288214,20.479,9.017,0.021882647943608825,9.103
374,1.155,3.5621198529914295,20.479,9.004,0.020637288905712654,9.076
375,1.1545,3.5615570458038075,20.479,9.005,0.021218661201739653,9.069
376,1.155,3.574141837638689,20.479,8.996,0.021904399712542523,9.069
377,1.151,3.5702202917303336,20.479,8.995,0.021705417852750295,9.056
378,1.153,3.5736837798034187,20.479,8.989,0.020200959221730482,9.056
379,1.155,3.563343157942784,20.479,8.987,0.021764837141174696,9.045
380,6.6545,3.6642778334514197,20.479,8.988,0.021601575034292237,9.058
381,1.153,3.5593336418369206,20.479,8.989,0.022536114033395598,9.055
382,1.1564999999999999,3.56168374020168,20.479,8.988,0.022067081419152097,9.06
