cycle,VS1_std,VS1_max,PS1_std,PS1_max,PS1_median,PS2_std,PS2_max,PS2_median,PS3_std,PS3_max,PS3_median,PS5_mean,PS5_max,PS6_mean,PS6_max
24,0.03195457581089503,0.722,14.553910379384382,190.78,153.59,46.33807118676607,166.78,127.53999999999999,0.9098831223898036,11.266,2.031,8.81421100000003,8.882,8.743425166666638,8.814
25,0.032077285731292884,0.714,14.571158669376935,190.7,153.42,46.28595031591616,164.56,127.305,0.8979750135893597,10.836,1.945,8.799729000000017,8.884,8.73054949999997,8.81
26,0.042575900984392206,0.762,14.603530076923416,190.79,153.37,46.27680121815207,165.65,127.28,0.9036668466045853,10.695,1.953,8.796408833333379,8.862,8.727123833333295,8.8
27,0.03138730176145136,0.723,14.616949138809769,190.76,153.35,46.285442157198624,166.47,127.28999999999999,0.8798815264106443,10.891,1.977,8.791438500000064,8.861,8.722813999999943,8.79
28,0.033062050035386086,0.72,14.666449935490203,190.8,153.18,46.195964356771015,166.4,127.235,0.8851473852736795,10.969,1.977,8.781652500000034,8.84,8.714268499999967,8.776
29,0.03262159348624652,0.726,14.730955443707277,190.69,153.1,46.1463016439655,166.27,127.185,0.8731472492053097,10.672,1.992,8.778931666666729,8.84,8.71148149999995,8.771
30,0.04868372214878282,0.804,14.731912458133612,190.69,153.1,46.152335790653396,166.24,126.92,0.8747110489196895,11.195,1.992,8.770889500000042,8.833,8.70426149999997,8.767
31,0.03414932314389907,0.712,14.74617224002507,190.72,153.02,46.131872936569614,165.95,126.88,0.8717964591137968,10.695,1.992,8.763220000000079,8.825,8.698755833333319,8.755
32,0.03503926369089397,0.734,14.734913697919806,190.63,153.13,46.16656574927443,166.38,127.035,0.8689250294590839,11.117,1.992,8.758904833333359,8.827,8.694084833333335,8.756
33,0.0420102859344445,0.752,14.758764996962647,190.58,152.99,46.12725578557802,166.38,126.9,0.8703414360833591,10.695,1.992,8.752250333333343,8.82,8.687685500000033,8.755
34,0.06755107713870202,0.965,14.764007765853211,190.7,152.94,46.10332892712658,166.49,126.75999999999999,0.8703169796234066,10.937,1.992,8.742353666666656,8.807,8.678553500000012,8.743
35,0.05187266841809432,0.841,14.766434277329784,190.58,152.91,46.11007551869233,166.31,126.745,0.8692409140313134,10.641,1.977,8.745542833333339,8.806,8.68209366666668,8.741
36,0.05475439770280203,0.808,14.763271183263274,190.56,152.91,46.1148819591348,164.99,126.77,0.868994156171563,10.75,1.977,8.743158666666655,8.809,8.67982350000007,8.739
37,0.04941380671214587,0.826,14.777406975326093,190.56,152.89,46.07884779409811,166.22,126.75999999999999,0.8662368601269109,11.031,1.969,8.737774666666672,8.806,8.67607833333342,8.747
38,0.05597471180436681,0.897,14.758082334362422,190.56,152.98,46.13576611833122,166.26,126.86,0.8676091554028461,10.445,1.977,8.732193833333332,8.801,8.670217666666707,8.739
39,0.03980966012851683,0.734,14.791619398567192,190.6,152.875,46.10712922969576,166.5,126.695,0.8677240505025988,11.086,1.992,8.736621833333352,8.795,8.674893166666736,8.735
40,0.04486772461206839,0.781,14.765385317430514,190.93,152.94,46.122030181283776,166.29,126.75999999999999,0.8745117597301307,10.836,1.992,8.737543666666642,8.805,8.675093166666692,8.737
41,0.03417725066878312,0.733,14.800616528473606,190.59,152.76,46.05382670417954,166.44,126.66,0.8768348056766718,11.133,1.992,8.727892000000013,8.787,8.667084833333387,8.729
42,0.043722416647689145,0.75,14.812274686210776,190.59,152.79,46.05180751496434,164.18,126.92,0.8675081212518774,10.922,1.977,8.724992500000013,8.795,8.66449266666676,8.724
43,0.06311593448916587,0.908,14.845990257992637,190.6,152.76,46.04689644531669,166.38,127.025,0.8766470560961992,11.062,1.992,8.726438666666684,8.787,8.666371833333393,8.727
44,0.05781243781490014,0.846,14.843149902671247,190.55,152.73,46.03677080991292,166.18,127.05000000000001,0.8705871795905528,11.078,1.992,8.717881500000015,8.783,8.657165833333382,8.722
45,0.056350424479173634,0.839,14.836762198047708,190.55,152.72,46.05271572109825,166.27,127.035,0.872080615739134,10.992,1.992,8.717563500000042,8.78,8.657379833333398,8.715
46,0.07195631128999927,0.875,14.832303989953727,190.58,152.7,46.05596859141528,166.21,127.005,0.8678983281138863,10.812,1.977,8.7169841666667,8.786,8.65667250000004,8.717
47,0.05134214466896607,0.777,14.856790714228179,190.56,152.68,46.04171179181603,166.41,126.95,0.8683364990614817,10.977,1.977,8.709383166666656,8.777,8.649768000000062,8.714
48,0.041771438894831404,0.747,14.858508122228706,190.55,152.69,46.0586742180276,166.3,127.03,0.866872231402732,11.023,1.969,8.707593500000007,8.771,8.64905750000006,8.712
49,0.04211666269822621,0.746,14.84937365378256,190.78,152.73,46.028831528364265,166.21,127.06,0.8642783289728327,11.133,1.969,8.703713333333342,8.76,8.646877166666748,8.71
50,0.04087511640647569,0.756,14.828756986280304,190.56,152.79,46.07157880046597,166.28,127.08500000000001,0.8659836366770859,10.859,1.969,8.700791833333364,8.758,8.643941000000028,8.705
51,0.09344946971401448,1.028,14.850320793264851,190.63,152.72,46.00764886323281,166.23,126.98,0.8670414276081835,11.047,1.977,8.695814333333324,8.752,8.638503166666734,8.696
52,0.04123611219735128,0.74,14.855354608892934,190.58,152.7,46.036714326580764,166.39,127.01,0.864089732083897,11.008,1.969,8.698417333333332,8.762,8.639050333333389,8.696
53,0.06616289391398662,0.873,14.870711360119593,190.54,152.68,46.03970683261646,166.37,126.98,0.8646158945877361,11.031,1.977,8.696982333333354,8.752,8.638020833333318,8.696
54,0.09061898100019733,0.995,14.822989745148796,190.5,152.81,46.08490581747366,166.34,127.11,0.8711285181949375,11.031,1.992,8.699042166666656,8.753,8.638604166666726,8.694
55,0.05369872011857342,0.793,14.860489779432282,190.56,152.7,46.01968698752761,166.44,126.98,0.8713625381476688,11.141,1.992,8.696124333333298,8.75,8.635682500000009,8.694
56,0.05413526425684273,0.805,14.86405538171629,190.54,152.66,46.03407379473964,166.26,126.98,0.871125535338652,10.953,1.992,8.694655166666706,8.749,8.634219833333368,8.693
57,0.04495663635707607,0.777,14.865532737143397,190.55,152.65,46.00304423828861,166.31,126.96,0.8705955079080663,10.969,1.992,8.691750833333314,8.743,8.631906833333353,8.685
58,0.04337100492029912,0.753,14.872583667780598,190.55,152.65,45.976106985237806,166.2,126.92,0.8717815109400325,11.047,1.977,8.693600000000007,8.748,8.632896166666736,8.687
59,0.06276737385249588,0.891,14.871103592988689,190.58,152.65,45.99872436747118,166.4,126.98,0.872014372750971,11.633,1.977,8.693452499999994,8.75,8.632781166666692,8.701
60,0.04595128838188112,0.76,14.88059638953111,190.55,152.62,46.013321592398796,166.27,126.93,0.8720738131195148,10.992,1.977,8.69053633333334,8.748,8.630063500000013,8.684
61,0.052710873244446364,0.78,14.878132164616023,190.84,152.59,45.991050843950866,166.23,126.98,0.8686256174654255,11.406,1.969,8.689466166666648,8.747,8.629398999999987,8.681
62,0.050359215293447064,0.844,14.86986632685665,190.54,152.56,46.027972046999004,166.29,126.93,0.8708433811324287,11.195,1.992,8.683996000000036,8.739,8.624375166666628,8.682
63,0.05730284302902466,0.831,14.885204879601597,190.58,152.49,46.013415070765895,166.23,126.9,0.8680526481709726,11.242,1.992,8.677963166666682,8.748,8.617983833333307,8.681
64,0.06426840566018187,0.914,14.877516089301617,190.5,152.53,45.99049594627373,166.22,126.96,0.8751684083015796,11.469,1.992,8.682053333333398,8.735,8.622015166666635,8.674
65,0.06111172504399716,0.885,14.886478637834502,190.48,152.54,45.990974335560395,166.41,126.94,0.8676713307216803,11.297,1.977,8.683362166666711,8.741,8.623972166666597,8.682
66,0.05714353767754571,0.808,14.885913584117969,190.48,152.52,46.01066247445851,166.31,126.93,0.8627234126098067,10.844,1.977,8.68352883333338,8.738,8.624775666666675,8.675
67,0.06113743894438143,0.86,14.88884795058562,190.55,152.48,45.98369673215214,166.3,126.88,0.8705329883609451,11.242,1.977,8.682046333333377,8.737,8.623610666666679,8.678
68,0.07352621846837962,0.927,14.87375953369249,190.46,152.53,45.97156165033495,166.49,126.88,0.8678437009993214,11.414,1.977,8.677625166666738,8.736,8.619286666666618,8.677
69,0.06293145764704582,0.896,14.889122381001338,190.44,152.52,46.0014291208146,166.13,126.935,0.8687288027530738,11.195,1.977,8.677133333333401,8.731,8.618394333333324,8.673
70,0.07849091314494745,0.947,14.8812172443894,190.44,152.46,45.994434069716554,166.34,126.89,0.8690336452035863,11.242,1.992,8.67500050000007,8.734,8.616784499999927,8.675
71,0.056685862484835835,0.821,14.898612979942458,190.46,152.48,45.957556952300656,166.41,126.88,0.870117711143129,11.297,1.977,8.670226000000044,8.726,8.612794166666557,8.666
72,0.048825698869104754,0.822,14.901785083978693,190.55,152.42,45.97655383421773,166.34,126.78,0.8689823469264785,11.156,1.977,8.668996833333377,8.724,8.611846666666578,8.666
73,0.0499409708052592,0.806,14.902839775654407,190.54,152.4,45.937422100931705,166.28,126.78,0.8658899821113846,11.32,1.977,8.670238166666705,8.724,8.613797999999983,8.668
74,0.035978096757995466,0.734,14.903452009198931,190.47,152.44,45.9777773821484,166.18,126.85,0.8693533333585809,11.328,1.992,8.661636333333373,8.718,8.604271833333286,8.663
75,0.06286450994137703,0.842,14.909170813895841,190.47,152.43,45.959494553736306,166.27,126.77,0.8742084585095883,11.297,2.0,8.657827500000005,8.715,8.60014366666664,8.658
76,0.08299413906200888,0.952,14.90965128141789,190.48,152.41,45.919991851582786,166.3,126.77,0.8764847047348637,11.359,2.0,8.657282666666696,8.71,8.599673333333305,8.651
77,0.04985147431646756,0.804,14.91998384904569,190.48,152.4,45.93283447372337,166.27,126.77,0.8680085687278078,10.867,1.977,8.6530775,8.708,8.59642016666662,8.651
78,0.0566862586603134,0.859,14.928767984584816,190.56,152.4,45.90934034386537,166.08,126.72,0.8750951604851552,11.523,1.992,8.64959266666665,8.712,8.592202833333248,8.654
79,0.05695710547777846,0.833,14.93349506666635,190.49,152.34,45.90248706603529,166.3,126.73,0.8712426079603927,11.539,1.977,8.648824333333371,8.702,8.591324166666615,8.644
80,0.0863652259875872,0.988,14.92231504430649,190.54,152.37,45.90489877739004,166.34,126.695,0.8713794599077739,11.734,1.969,8.643149333333382,8.697,8.585829499999912,8.641
81,0.06592624709853562,0.884,14.923755673494666,190.49,152.38,45.8988031360436,166.29,126.77,0.8679511775866204,10.977,1.969,8.64540016666667,8.696,8.588540499999924,8.641
82,0.05922189433276838,0.807,14.918300106810987,190.41,152.38,45.91360522249601,166.24,126.75999999999999,0.8687165833507422,11.141,1.969,8.643304500000033,8.698,8.585228333333303,8.639
83,0.047306023791961735,0.773,14.930040924929138,190.41,152.38,45.89368780297461,166.22,126.73,0.8653636191206111,11.156,1.953,8.639993499999983,8.7,8.582634666666635,8.646
84,0.06323946731265769,0.873,14.928006499107852,190.39,152.38,45.9005668331496,166.3,126.735,0.8731082490493272,11.352,1.977,8.639279000000052,8.694,8.581948833333296,8.638
85,0.08404326804661277,0.99,14.931787241672343,190.41,152.4,45.91332904123739,166.23,126.77,0.8682311706754781,11.602,1.969,8.640342333333372,8.693,8.583456166666586,8.637
86,0.05064037379035744,0.777,14.94679078271562,190.48,152.37,45.89007106898977,166.18,126.7,0.8652721917528953,11.266,1.953,8.639997833333362,8.691,8.583285999999957,8.641
87,0.06176416784332589,0.862,14.930586792654347,190.38,152.41,45.89164746470962,166.16,126.75999999999999,0.8673827452027427,11.492,1.977,8.636916666666716,8.69,8.579894666666611,8.635
88,0.05830408063942901,0.836,14.943931778634287,190.49,152.38,45.91232236531926,166.16,126.75,0.8661108415106563,11.344,1.977,8.634705000000015,8.689,8.577276999999969,8.632
89,0.054505937063234165,0.799,14.952724464672539,190.46,152.37,45.91478220710167,166.12,126.72,0.8647139805257333,11.508,1.977,8.632419833333348,8.688,8.574452333333301,8.626
90,0.05377302161035165,0.801,14.958996411145376,190.47,152.34,45.91142287737851,166.12,126.69,0.8697272418671058,11.0,1.977,8.633079000000018,8.685,8.575696499999975,8.632
91,0.06712555694726285,0.868,14.954950928583314,190.49,152.33,45.871102717171794,166.4,126.66,0.8658355070509548,11.437,1.969,8.631374999999986,8.688,8.574000833333297,8.634
92,0.06269836318248438,0.829,14.949062945873582,190.44,152.35,45.87777676930479,166.24,126.72,0.8672222304618644,11.43,1.969,8.630644000000048,8.689,8.573371333333307,8.627
93,0.06370593636140683,0.869,14.960850092920872,190.42,152.32,45.8784934248957,166.34,126.67,0.8723322001137102,11.266,1.977,8.630626166666705,8.686,8.574225333333281,8.634
94,0.08653428176684634,0.975,14.962631073335592,190.52,152.32,45.895144568193714,166.27,126.64,0.8719990105007907,11.727,1.969,8.632969333333357,8.688,8.575472166666623,8.631
95,0.04116543377462587,0.744,14.961302152368667,190.47,152.33,45.859775168022566,166.14,126.67,0.8719060295865473,11.383,1.977,8.628924666666718,8.685,8.572396666666638,8.632
96,0.04703128841947116,0.767,14.972335384951712,190.41,152.3,45.891504821908114,166.22,126.65,0.8631501042068934,10.922,1.977,8.626165000000004,8.678,8.569987333333293,8.622
97,0.055557381137613555,0.797,14.96932105793111,190.48,152.32,45.89446761190165,166.27,126.64,0.8625429239664459,11.461,1.969,8.626309333333342,8.686,8.569549166666642,8.625
98,0.0641786348806302,0.878,14.98714007538253,190.49,152.32,45.856794840458036,166.21,126.65,0.8722738468665063,11.703,1.977,8.620391499999982,8.675,8.564074166666646,8.623
99,0.10768081626775682,1.074,14.977425326873082,190.44,152.27,45.85426342120196,166.18,126.63,0.8726856653998647,11.25,1.977,8.617567499999941,8.675,8.561503833333296,8.62
100,0.09537564743839899,1.003,14.969918864979551,190.47,152.27,45.85635077198389,166.03,126.63499999999999,0.8735376874428376,11.32,1.992,8.616092333333336,8.672,8.559061499999997,8.619
101,0.04274341724188796,0.786,14.984738377607707,190.5,152.27,45.87234294407055,165.98,126.61,0.8699469935173123,11.453,1.992,8.612433166666642,8.667,8.5530556666667,8.616
102,0.06720883214759849,0.93,14.999040066948616,190.54,152.25,45.848230227032545,166.08,126.59,0.8767788834722435,11.547,1.992,8.60657083333334,8.66,8.547031500000045,8.602
103,0.06339788042937912,0.834,14.98802396521728,190.5,152.25,45.85852301923895,165.85,126.53,0.8786246106203169,11.656,2.0,8.610363999999938,8.667,8.552162666666701,8.609
104,0.06820130348175298,0.97,14.979430813846255,190.42,152.27,45.86652297836532,166.26,126.57,0.8715442008642439,11.164,2.0,8.608500166666627,8.665,8.551942000000022,8.609
105,0.08035787889538257,0.956,14.99088403843364,190.46,152.23,45.86522718918897,165.75,126.54,0.8696137502034909,11.742,1.977,8.61055,8.668,8.552354000000035,8.613
106,0.06551020751101003,0.896,14.999418120932594,190.47,152.19,45.86751355279198,165.9,126.53,0.8674996237444458,11.031,1.992,8.60633166666663,8.663,8.546368833333347,8.601
107,0.04217722562689397,0.76,15.018113994039949,190.42,152.18,45.830344484029176,166.32,126.475,0.87225309949931,11.328,1.992,8.60426133333327,8.658,8.544282000000038,8.599
108,0.04929818185758251,0.826,15.01078037189332,190.46,152.18,45.834276129789956,166.16,126.53,0.8733826833544882,11.383,1.992,8.604690499999952,8.663,8.545304833333361,8.602
109,0.07345997795794605,0.897,15.017433680185794,190.57,152.14,45.84010625400151,166.29,126.44,0.8682305770679805,11.383,1.977,8.601844333333279,8.658,8.543573166666667,8.596
110,0.05314335159932087,0.831,15.015644265524607,190.72,152.22,45.84402170288956,166.32,126.56,0.8687500298670237,11.414,1.977,8.601749499999935,8.658,8.54269066666669,8.602
111,0.0806334385502031,0.922,15.018961015142516,190.5,152.19,45.824841872138705,166.26,126.545,0.8734648919243746,11.617,1.992,8.601834333333306,8.655,8.543530166666716,8.597
112,0.06185148057821667,0.858,15.014649929320973,190.5,152.19,45.839585801049374,166.31,126.51,0.870052720210034,11.398,1.977,8.601871833333343,8.653,8.542350666666678,8.595
113,0.056050270011495776,0.827,15.000854944649008,190.68,152.24,45.8728921613168,166.21,126.59,0.8635775091263058,11.109,1.977,8.597235166666618,8.653,8.53858250000001,8.594
114,0.07095698545816849,0.877,15.027491212950011,190.44,152.08,45.828530136821634,166.21,126.45,0.8672281278824625,11.227,1.977,8.60019766666661,8.651,8.541175500000008,8.599
115,0.09179326286468213,1.028,15.025889603841469,190.39,152.13,45.82201723169148,166.29,126.46,0.8703740251040938,11.156,1.992,8.59852266666664,8.653,8.538898166666694,8.597
116,0.10505185563749626,1.065,15.027528502029273,190.54,152.11,45.80886935295113,166.31,126.475,0.8718105753500673,11.344,1.992,8.59344749999999,8.645,8.533472333333341,8.59
117,0.05688176606553688,0.851,15.024394508728891,190.42,152.13,45.815516016825,166.24,126.49,0.8711211899884775,11.344,1.977,8.592278999999971,8.656,8.533665499999996,8.587
118,0.09896186990409617,1.041,15.047923460842991,190.42,152.03,45.82434208254686,166.23,126.36,0.8704402762607205,11.219,1.977,8.589835499999937,8.649,8.530741666666659,8.592
119,0.08011053627706452,0.901,15.023767589643702,190.42,152.05,45.80456579519695,166.28,126.35,0.8679141182738102,11.398,1.969,8.587361666666665,8.646,8.527560500000062,8.583
120,0.07517236502383597,0.925,15.03087526173478,190.54,152.1,45.8195074553493,166.29,126.41,0.8714199104009065,11.344,1.992,8.589607833333332,8.644,8.530507833333381,8.587
121,0.05607119163236543,0.824,15.047860950730815,190.41,152.09,45.8501531465102,166.38,126.31,0.8685087092374064,11.164,1.992,8.588529833333286,8.646,8.528744666666707,8.587
122,0.07511775313571481,0.881,15.026685299141876,190.44,152.13,45.84633736858518,166.18,126.41,0.8725439477468632,11.562,1.992,8.585770166666638,8.646,8.52645049999998,8.589
123,0.05390601519845694,0.83,15.043027345259185,190.41,152.02,45.784222867951485,166.12,126.31,0.8777968931540705,11.516,2.0,8.583557666666609,8.638,8.524499166666699,8.582
124,0.05923007901300663,0.811,15.035933818355353,190.56,152.02,45.81391661006715,166.23,126.34,0.8752465459990514,11.492,1.992,8.582928833333305,8.637,8.523982666666665,8.58
125,0.06679756076604733,0.851,15.033158504252068,190.72,152.05,45.78156100557402,165.98,126.35,0.8692842424368435,11.406,1.992,8.585156833333315,8.642,8.526364666666682,8.583
126,0.05379996429545368,0.823,15.040077163001593,190.41,152.06,45.79062931803642,166.02,126.31,0.8743063620933357,11.273,1.992,8.582987166666651,8.646,8.52410833333333,8.58
127,0.08005541865793456,0.979,15.035930303575853,190.47,152.08,45.807607858323784,166.16,126.33,0.8744877966766574,11.305,2.0,8.58223433333329,8.641,8.523409000000033,8.583
128,0.055741055374268704,0.797,14.931045161900236,190.52,152.37,45.93602713892818,166.31,126.74,0.8662353676947526,11.352,1.992,8.581426666666616,8.639,8.522683833333323,8.578
129,0.05810287972870503,0.87,15.000624630455876,190.44,152.13,45.82031410532893,166.38,126.485,0.8740442360230332,11.297,2.0,8.581302166666633,8.636,8.523167166666655,8.577
130,0.059882037996182726,0.828,15.00338406172108,190.44,152.16,45.84634551996141,166.13,126.49,0.876862170547595,11.398,2.008,8.5848423333333,8.642,8.526596499999998,8.585
131,0.08266486693867414,0.942,15.016512836193266,190.41,152.09,45.80232794089478,166.31,126.43,0.879264531381766,11.398,2.008,8.583519333333317,8.639,8.525494166666679,8.583
132,0.08389127177618652,0.979,15.026142585921226,190.44,152.09,45.82799696770178,166.19,126.44,0.8758425567364191,11.547,2.0,8.580516666666632,8.632,8.522564333333376,8.58
133,0.07361384012281333,0.891,15.031427694086236,190.52,152.07,45.81430213380082,166.12,126.41,0.8753344877926685,11.242,2.0,8.579552499999915,8.639,8.520649666666676,8.58
134,0.05103096434552163,0.811,15.047110997226325,190.52,152.02,45.79051706624145,166.28,126.31,0.8734083256487334,11.328,1.992,8.58139899999999,8.642,8.523014833333331,8.583
135,0.09876659697471663,0.956,15.038203160801487,190.66,152.03,45.81981001722618,166.21,126.36,0.8674976607420808,11.461,1.992,8.58200766666667,8.638,8.522669000000036,8.58
136,0.0729935373658185,0.914,15.033981080178844,190.41,152.07,45.82721817097308,166.16,126.36,0.8751333873611314,11.359,2.0,8.580081499999949,8.635,8.520537333333314,8.582
137,0.07229772874662733,0.955,15.03537928822516,190.44,152.02,45.77999459399753,166.11,126.28999999999999,0.8758200223374816,11.32,2.0,8.578618166666628,8.635,8.518329666666713,8.573
138,0.06774540241243387,0.862,15.015216921083317,190.42,152.14,45.82203203475918,166.06,126.47,0.8725495111966257,11.539,1.992,8.577245999999963,8.635,8.51657283333335,8.575
139,0.0659705549794284,0.935,15.02886166122158,190.44,152.13,45.86708625130217,166.24,126.47,0.8686212414559102,11.109,2.0,8.579930666666614,8.637,8.519444499999997,8.577
140,0.05269948916443205,0.787,15.039391324816645,190.41,152.1,45.83243860401,166.18,126.41,0.8717486889480645,11.344,2.0,8.579330333333292,8.639,8.519053833333361,8.573
141,0.06698149672823683,0.904,15.036271004856417,190.46,152.09,45.79830899042687,166.28,126.36,0.8732308920583546,11.453,1.992,8.577533333333303,8.637,8.518494,8.576
142,0.07463631407385464,0.89,15.037638936872034,190.46,152.08,45.79547889975489,166.09,126.34,0.8751865203472563,11.273,2.0,8.574849666666587,8.63,8.515585500000002,8.574
143,0.08380898883872477,0.979,15.044895722896149,190.5,152.06,45.826508981716415,166.21,126.35,0.8710529729012785,11.398,1.992,8.575820999999967,8.636,8.51730133333332,8.579
144,0.04680917808018395,0.776,15.011853090971563,190.44,152.14,45.86167279335943,166.06,126.5,0.863303535066075,11.32,1.969,8.57579199999998,8.633,8.516387500000034,8.58
145,0.07995911914511863,0.959,15.059276996692086,190.41,152.0,45.783596794955706,166.31,126.33500000000001,0.8743018322725901,11.469,1.992,8.573835999999945,8.634,8.515760333333331,8.575
146,0.07879952930829626,0.952,15.047989883909908,190.52,152.05,45.78326861871348,166.42,126.34,0.8751345215708916,11.523,1.992,8.573042166666601,8.636,8.515313166666676,8.577
147,0.06475730222986745,0.917,15.058517621926468,190.41,152.01,45.8029232228955,166.23,126.31,0.8784957158963411,11.398,2.0,8.570708833333331,8.632,8.51236050000001,8.569
148,0.06701434200153207,0.876,15.048654875650106,190.48,151.99,45.79780056413064,166.29,126.31,0.8735862029761157,11.781,2.0,8.571285499999957,8.627,8.512693500000012,8.57
149,0.05807816669220616,0.808,15.05324682933712,190.46,152.02,45.78524317028133,166.26,126.28999999999999,0.8788739618094736,11.758,1.992,8.573981666666613,8.629,8.514320666666684,8.573
150,0.10051091376219168,1.036,15.043953498922626,190.41,152.03,45.78789052255837,166.03,126.34,0.8735658944647322,11.562,1.992,8.572757833333243,8.628,8.512583666666671,8.574
151,0.06082467858874168,0.811,15.055637645582662,190.44,152.0,45.77925814355653,166.19,126.3,0.8792172217219518,11.711,2.0,8.571901666666637,8.627,8.511444166666701,8.568
152,0.08655655379952298,1.033,15.04766969939956,190.47,152.03,45.78929617869905,166.2,126.31,0.8781244454143573,11.484,1.992,8.572287999999942,8.632,8.512368833333364,8.57
153,0.06669065952437876,0.874,15.049371967147215,190.49,152.0,45.784798292783314,166.22,126.26,0.8768379032464613,11.617,2.0,8.571741999999947,8.63,8.512191666666702,8.574
154,0.0697771189408363,0.886,15.050023250390792,190.41,151.98,45.805763642124454,166.31,126.3,0.8718890270524997,11.711,1.977,8.566863666666666,8.626,8.507123499999993,8.573
155,0.07067214827902772,0.934,15.059805816155245,190.41,151.99,45.78128431403612,165.8,126.28,0.8666477408480864,11.398,1.977,8.569051999999957,8.626,8.509051833333348,8.566
